FECHA,APERTURA,ULTIMO
20120702,1.08,1.09
20120703,1.1,1.11
20120704,1.11,1.1
20120705,1.08,1.15
20120706,1.15,1.14
20120710,1.14,1.09
20120711,1.11,1.14
20120712,1.12,1.11
20120713,1.12,1.1
20120716,1.11,1.14
20120717,1.14,1.15
20120718,1.16,1.21
20120719,1.23,1.21
20120720,1.2,1.19
20120723,1.15,1.19
20120724,1.18,1.17
20120725,1.18,1.19
20120726,1.2,1.18
20120727,1.16,1.13
20120730,1.13,1.11
20120731,1.09,1.09
20120801,1.07,1.08
20120802,1.07,1.09
20120803,1.1,1.12
20120806,1.11,1.12
20120807,1.12,1.1
20120808,1.09,1.1
20120809,1.11,1.07
20120810,1.06,1.05
20120813,1.06,1.06
20120814,1.08,1.06
20120815,1.07,1.07
20120816,1.06,1.1
20120817,1.08,1.06
20120821,1.05,1.05
20120822,1.04,1.03
20120823,1.04,1.04
20120824,1.05,1.07
20120827,1.08,1.08
20120828,1.09,1.06
20120829,1.06,1.06
20120830,1.06,1.04
20120831,1.05,1.02
20120903,1.02,1.01
20120904,1,1.03
20120905,1.03,1.03
20120906,1.03,1.01
20120907,1.01,0.98
20120910,0.98,0.98
20120911,0.97,0.97
20120912,0.97,0.98
20120913,0.98,0.98
20120914,0.98,0.98
20120917,0.97,0.96
20120918,0.94,0.95
20120919,0.94,0.94
20120920,0.94,0.93
20120921,0.93,0.94
20120925,0.94,0.94
20120926,0.94,0.91
20120927,0.91,0.93
20120928,0.92,0.92
20121001,0.92,0.92
20121002,0.93,0.91
20121003,0.91,0.91
20121004,0.91,0.91
20121005,0.92,0.95
20121009,0.92,0.93
20121010,0.93,0.9
20121011,0.91,0.9
20121012,0.9,0.9
20121015,0.9,0.9
20121016,0.89,0.9
20121017,0.91,0.92
20121018,0.92,0.91
20121019,0.9,0.9
20121022,0.9,0.89
20121023,0.89,0.87
20121024,0.87,0.89
20121025,0.89,0.89
20121026,0.88,0.87
20121029,0.86,0.85
20121030,0.85,0.84
20121031,0.84,0.87
20121101,0.89,0.9
20121102,0.9,0.93
20121105,0.93,0.9
20121107,0.9,0.9
20121108,0.9,0.9
20121109,0.9,0.9
20121112,0.89,0.89
20121113,0.89,0.88
20121114,0.88,0.9
20121115,0.9,0.87
20121116,0.87,0.9
20121119,0.9,0.87
20121120,0.87,0.9
20121121,0.9,0.89
20121122,0.85,0.85
20121123,0.88,0.88
20121127,0.88,0.84
20121128,0.85,0.82
20121129,0.82,0.82
20121130,0.83,0.83
20121203,0.83,0.82
20121204,0.83,0.83
20121205,0.84,0.83
20121206,0.83,0.82
20121207,0.83,0.82
20121210,0.82,0.81
20121211,0.81,0.81
20121212,0.81,0.83
20121213,0.83,0.84
20121214,0.84,0.85
20121217,0.85,0.9
20121218,0.9,0.95
20121219,0.95,0.97
20121220,0.97,0.98
20121221,0.96,0.94
20121226,0.93,0.96
20121227,0.98,0.95
20121228,0.94,0.97
20130102,0.98,0.97
20130103,0.97,0.97
20130104,0.98,1.06
20130107,1.07,1.07
20130108,1.07,1.06
20130109,1.07,1.1
20130110,1.1,1.18
20130111,1.2,1.13
20130114,1.14,1.13
20130115,1.13,1.12
20130116,1.1,1.17
20130117,1.19,1.18
20130118,1.18,1.16
20130121,1.18,1.19
20130122,1.2,1.27
20130123,1.29,1.22
20130124,1.22,1.25
20130125,1.26,1.27
20130128,1.29,1.29
20130129,1.29,1.35
20130130,1.36,1.31
20130201,1.33,1.34
20130204,1.34,1.27
20130205,1.27,1.24
20130206,1.2,1.15
20130207,1.16,1.17
20130208,1.17,1.19
20130213,1.2,1.18
20130214,1.18,1.21
20130215,1.22,1.2
20130218,1.19,1.17
20130219,1.19,1.16
20130221,1.17,1.12
20130222,1.14,1.14
20130225,1.15,1.14
20130226,1.13,1.14
20130227,1.13,1.19
20130228,1.18,1.18
20130301,1.16,1.23
20130304,1.24,1.23
20130305,1.23,1.23
20130306,1.24,1.21
20130307,1.21,1.25
20130308,1.25,1.24
20130311,1.23,1.22
20130312,1.22,1.2
20130313,1.2,1.29
20130314,1.28,1.3
20130315,1.3,1.32
20130318,1.31,1.33
20130319,1.33,1.31
20130320,1.3,1.33
20130321,1.32,1.33
20130322,1.31,1.29
20130325,1.29,1.28
20130326,1.29,1.3
20130327,1.29,1.27
20130403,1.28,1.27
20130404,1.27,1.29
